194745,189827,326792,9514,217996,287510,309068,364234,470663,469852,148099,170124,72820,295024,469873,212619,261912,108747,307981,554755,198251,130663,13823,305760,561483,New.0.ReferenceOTU576,186029,268604,561636,326977,274208,259422,199293,24773,533785,185951,292424,312461,15382,210269,195574,540230,175682,471308,177351,48207,316587,301004,15141,145149,181834,303304,191687,517331,178146,259261,162427,323257,563485,178122,361809,469868,302844,248563,139221,352379,179287,New.0.ReferenceOTU11,365758,470139,295190,184464,325608,209122,586732,174902,352304,579564,16076,99826,545371
326792,189827,217996,72820,470663,178122,185951,561483,9514,191687,533785,469873,15141,554755,316587,540230,309068,108747,212619,292424,148099,307981,305760,261912,194745,48207,469852,470139,210269,326977,561636,259422,365758,130663,New.0.ReferenceOTU576,198251,175682,15382,301004,471308,312461,364234,145149,361809,303304,178146,323257,186029,517331,13823,325608,287510,24773,563485,352379,259261,181834,199293,162427,179287,268604,274208,302844,170124,469868,248563,295190,184464,295024,352304,195574,New.0.ReferenceOTU11,586732,177351,139221,579564,545371,209122,174902,99826,16076
326792,189827,364234,470663,217996,194745,148099,15141,198251,469873,9514,130663,13823,540230,469852,72820,554755,305760,212619,292424,199293,561636,561483,268604,108747,533785,178122,312461,191687,186029,210269,301004,170124,361809,323257,259422,24773,307981,261912,New.0.ReferenceOTU576,326977,274208,162427,15382,185951,471308,295024,287510,145149,316587,248563,175682,470139,563485,325608,259261,48207,309068,303304,139221,469868,181834,195574,302844,352379,178146,New.0.ReferenceOTU11,295190,184464,179287,365758,545371,352304,517331,579564,586732,177351,209122,99826,16076,174902
326792,470663,194745,217996,189827,9514,185951,72820,15141,517331,261912,13823,361809,287510,561483,469852,170124,148099,309068,48207,307981,108747,471308,561636,New.0.ReferenceOTU576,198251,175682,259261,469873,364234,305760,178122,259422,130663,533785,181834,540230,15382,292424,554755,145149,191687,24773,326977,352379,210269,212619,274208,248563,303304,563485,316587,301004,312461,186029,323257,199293,179287,268604,295024,162427,195574,325608,184464,470139,469868,New.0.ReferenceOTU11,302844,295190,178146,365758,139221,177351,174902,352304,586732,209122,579564,545371,99826,16076
326792,470663,9514,72820,189827,217996,15141,185951,194745,199293,295024,287510,554755,561483,148099,561636,533785,108747,307981,469873,471308,178122,145149,469852,13823,305760,268604,15382,540230,309068,24773,162427,292424,186029,191687,130663,175682,326977,48207,323257,364234,212619,325608,261912,301004,210269,259422,259261,316587,517331,352304,361809,New.0.ReferenceOTU576,312461,274208,198251,181834,303304,295190,545371,170124,352379,195574,302844,469868,470139,184464,179287,177351,139221,New.0.ReferenceOTU11,365758,209122,579564,248563,586732,563485,178146,174902,99826,16076
326792,189827,170124,217996,364234,72820,9514,261912,148099,191687,194745,533785,175682,561636,312461,470663,178146,561483,287510,13823,108747,469873,186029,130663,New.0.ReferenceOTU576,470139,307981,248563,198251,326977,292424,15141,469852,540230,305760,181834,301004,554755,178122,210269,352304,316587,309068,185951,323257,15382,302844,212619,24773,48207,162427,361809,259422,325608,303304,469868,471308,195574,352379,517331,274208,145149,139221,184464,259261,295190,199293,295024,365758,563485,174902,179287,New.0.ReferenceOTU11,579564,177351,99826,268604,209122,586732,16076,545371
326792,189827,470663,178122,554755,194745,170124,533785,540230,191687,9514,New.0.ReferenceOTU576,312461,517331,470139,309068,292424,561483,217996,469852,72820,305760,361809,185951,469873,307981,303304,148099,295024,261912,287510,48207,15382,130663,181834,325608,316587,326977,13823,108747,301004,212619,199293,259422,561636,175682,15141,186029,471308,248563,139221,195574,259261,178146,210269,364234,323257,24773,563485,268604,302844,352379,365758,145149,198251,274208,469868,209122,162427,184464,295190,177351,579564,179287,New.0.ReferenceOTU11,586732,352304,99826,16076,174902,545371
326792,72820,217996,185951,9514,295024,287510,189827,561483,148099,15141,194745,364234,470663,199293,309068,540230,469873,130663,533785,108747,361809,554755,145149,307981,292424,186029,181834,15382,469852,316587,561636,210269,312461,470139,175682,198251,48207,13823,325608,24773,305760,323257,352304,New.0.ReferenceOTU576,471308,261912,326977,162427,303304,195574,178122,301004,191687,177351,302844,517331,248563,469868,212619,268604,274208,295190,139221,New.0.ReferenceOTU11,170124,179287,365758,259261,563485,259422,352379,184464,99826,586732,209122,178146,579564,545371,174902,16076
326792,15141,185951,189827,364234,130663,540230,198251,561483,554755,72820,217996,194745,469873,199293,292424,470663,9514,261912,268604,533785,312461,148099,191687,316587,178122,469852,210269,305760,New.0.ReferenceOTU576,108747,307981,145149,295024,561636,361809,470139,181834,15382,309068,287510,186029,248563,24773,325608,302844,259261,303304,471308,326977,13823,179287,563485,352304,301004,175682,323257,352379,259422,48207,162427,212619,195574,469868,517331,New.0.ReferenceOTU11,274208,178146,170124,295190,139221,365758,184464,586732,209122,99826,545371,579564,177351,174902,16076
326792,189827,217996,15141,72820,287510,198251,364234,9514,261912,13823,470663,148099,561636,561483,194745,469873,130663,323257,175682,469852,185951,259422,533785,305760,326977,554755,301004,178122,108747,145149,24773,15382,186029,312461,352304,New.0.ReferenceOTU576,517331,162427,470139,248563,307981,139221,303304,199293,170124,178146,274208,540230,309068,259261,181834,316587,471308,292424,325608,48207,210269,191687,268604,212619,361809,184464,195574,295024,295190,352379,469868,563485,174902,302844,179287,365758,177351,586732,545371,New.0.ReferenceOTU11,209122,579564,99826,16076
